Date,Line_No,Responsible_Department,Problem_Name,M/C_ID,Problem_Start_Time,Problem_End_Time,Total_Downtime (Min)
28-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,,12:47,12:51,4
28-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0264,12:54,12:59,5
28-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0319,13:58,14:01,3
28-May-2022,Line 17,Maintenance,Knife Broken,FCI-5TOL-0321,14:55,15:07,12
28-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,,17:44,17:46,2
28-May-2022,Line 17,Production,Thread Finish & Re-threading,FCI-5TOL-0264,12:53,13:00,7
28-May-2022,Line 17,Production,Thread Finish & Re-threading,FCI-5TOL-0158,15:40,15:43,3
28-May-2022,Line 17,Quality,Puckering,FCI-5TOL-0194,13:45,13:58,13
28-May-2022,Line 17,Maintenance,Skip Stitch,,16:20,16:25,5
28-May-2022,Line 17,Maintenance,Skip Stitch,FCI-5TOL-0319,17:14,17:20,6
28-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TOL-0974,17:24,17:26,2
28-May-2022,Line 17, Needle Breakage, Needle Breakage,FCI-5TOL-0194,8:30,8:35,5
28-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,,9:02,9:04,2
28-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,,9:21,9:23,2
28-May-2022,Line 17,Maintenance,Jamming,FCI-4T-0082,9:20,9:40,20
28-May-2022,Line 17, Needle Breakage, Needle Breakage,,10:00,10:05,5
28-May-2022,Line 17,Quality,Uneven Stitch,F/L,9:56,10:10,14
28-May-2022,Line 17,Maintenance,Gauge Adjustment,FCI-4TOL-0249,12:38,12:41,3
28-May-2022,Line 17,Maintenance,Skip Stitch,FCI-4TOL-0249,12:43,12:57,14
28-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TOL-0249,13:12,13:14,2
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL-0262,7:28,7:30,2
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL-0262,7:33,7:35,2
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL-0262,7:38,7:40,2
28-May-2022,Line 19, Needle Breakage, Needle Breakage,5TOL-0198,9:42,9:53,11
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL-0262,10:05,10:08,3
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0198,10:14,10:20,6
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0198,10:27,10:47,20
28-May-2022,Line 19,Store,Wrong Label Supply,SNLS-2346,12:11,12:23,12
28-May-2022,Line 19, Needle Breakage, Needle Breakage,5TOL-0318,1:30,1:41,11
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0198,2:27,2:30,3
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL-0262,3:33,3:35,2
28-May-2022,Line 19,Maintenance,,5TOL-0198,4:52,4:56,4
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0080,07:16,07:20,4
28-May-2022,Line 19,Maintenance,Machine Clean,SNLS-2131,07:50,07:55,5
28-May-2022,Line 19,Maintenance,Pressure Issue,5TOL-0260,08:02,08:04,2
28-May-2022,Line 19,Maintenance,Skip Stitch,INCS-0080,07:46,07:48,2
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0029,08:48,08:50,2
28-May-2022,Line 19,Maintenance,Vaccum Issue,5TOL-0305,08:52,08:54,2
28-May-2022,Line 19, Needle Breakage, Needle Breakage,5TOL-0260,08:55,09:04,9
28-May-2022,Line 19, Needle Breakage, Needle Breakage,5TOL-0305,09:00,09:19,19
28-May-2022,Line 19,Production,Bobbin Problem,BT-0079,09:42,09:44,2
28-May-2022,Line 19,Lean,Excess WIP,SNLS-2096,10:08,10:16,8
28-May-2022,Line 19,Lean,Excess WIP,SNLS-0002,10:08,10:16,8
28-May-2022,Line 19,Lean,Excess WIP,SNLS-2605,10:08,10:16,8
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0286,10:53,10:55,2
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0305,10:55,11:00,5
28-May-2022,Line 19, Needle Breakage, Needle Breakage,BT-0079,11:42,11:50,8
28-May-2022,Line 19, Needle Breakage, Needle Breakage,INCS-0085,11:41,11:51,10
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL-0258,12:41,12:46,5
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0305,01:16,01:19,3
28-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0260,01:16,01:22,6
28-May-2022,Line 19,Maintenance,Gauge Problem,4TOL-0258,01:34,01:41,7
28-May-2022,Line 19,Production,Lable Mistake,SNLS-2170,01:48,01:55,7
28-May-2022,Line 19,Maintenance,Pressure foot,5TOL-0305,03:46,03:51,5
28-May-2022,Line 19,Maintenance,Looper,5TOL-0164,03:47,03:57,10
28-May-2022,Line 19,Cutting,Input Shortage,SNLS-2096,03:54,04:58,64
28-May-2022,Line 19,Cutting,Input Shortage,DNCS-0007,04:50,05:17,27
29-May-2022,Line 17,Maintenance,Uneven Tension,FCI-DNCS-0020,7:10,7:11,1
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TOL-0045,7:19,7:21,2
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TOL-0263,7:20,7:22,2
29-May-2022,Line 17,Maintenance,Skip Stitch,FCI-4TOL-0263,7:55,7:59,4
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TOL-0249,8:00,8:02,2
29-May-2022,Line 17,Maintenance,Skip Stitch,FCI-4TOL-0049,8:21,8:45,24
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TOL-0045,8:47,8:49,2
29-May-2022,Line 17,Maintenance,Elastic Problem,FCI-DNCS-0012,9:48,10:00,12
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TOL-0045,9:50,9:52,2
29-May-2022,Line 17,Maintenance,Puckering,FCI-DNCS-0058,10:10,10:35,25
29-May-2022,Line 17,Maintenance,Feed Problem,FCI-4TOL-0083,7:19,7:35,16
29-May-2022,Line 17,Production,Thread Finish & Re-threading,FCI-4TOL-0074,7:33,7:38,5
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0194,7:42,7:48,6
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,MF-7723,7:43,7:45,2
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,MF-7605U-U03-B56,7:52,7:55,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-BT-0074,7:40,7:46,6
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2109,7:41,7:44,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2156,7:50,7:55,5
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2111,7:56,7:59,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2065,8:30,8:34,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-BT-0074,8:35,8:39,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2111,9:10,9:14,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2156,9:16,9:21,5
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0263,9:34,9:38,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0249,9:54,9:57,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0263,10:01,10:08,7
29-May-2022,Line 17,Production,Multiple bio break,FCI-FLRC-0009,10:20,10:25,5
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2109,10:35,10:39,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0045,10:42,10:49,7
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2156,10:50,10:55,5
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2065,10:54,10:57,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2111,10:50,10:53,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-DNCS-0085,10:56,10:59,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0061,10:55,11:04,9
29-May-2022,Line 17,Production,Multiple bio break,FCI-FLCD-0014,10:55,11:06,11
29-May-2022,Line 17,Production,Multiple bio break,FCI-DNCS-0085,12:33,12:39,6
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2111,12:36,12:39,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2142,12:37,12:42,5
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2603,13:20,13:23,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0061,13:18,13:23,5
29-May-2022,Line 17,Production,Multiple bio break,FCI-DNCS-0012,13:27,13:30,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2156,13:53,13:57,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0061,13:55,13:58,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0054,13:59,14:04,5
29-May-2022,Line 17,Production,Multiple bio break,FCI-DNCS-0012,14:31,14:35,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-DNCS-0058,14:50,14:55,5
29-May-2022,Line 17,Production,Multiple bio break,FCI-SNLS-2111,15:10,15:15,5
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0061,15:39,15:42,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-FLRC-0009,15:41,15:44,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-DNCS-0085,16:20,16:24,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-FLCD-0014,16:25,16:30,5
29-May-2022,Line 17,Maintenance,Puckering,FCI-DNCS-0085,12:35,12:38,3
29-May-2022,Line 17,Maintenance,Skip Stitch,FCI-4TOL-0249,13:10,13:15,5
29-May-2022,Line 17, Needle Breakage, Needle Breakage,FCI-DNCS-0085,13:15,13:20,5
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-DNCS-0085,13:22,13:25,3
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TOL-0263,13:35,13:37,2
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-DNCS-0085,13:37,13:39,2
29-May-2022,Line 17,Maintenance,Skip Stitch,FCI-DNCS-0020,15:15,15:19,4
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0264,12:40,12:42,2
29-May-2022,Line 17,Production,Thread Finish & Re-threading,FCI-5TOL-0264,13:18,13:20,2
29-May-2022,Line 17,Maintenance,Puckering,FCI-5TOL-0158,13:22,13:25,3
29-May-2022,Line 17,Production,Thread Finish & Re-threading,FCI-5TOL-0319,14:00,14:03,3
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0194,14:07,14:10,3
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0264,14:32,14:36,4
29-May-2022,Line 17,Maintenance,Jamming,FCI-4TNB-0004,15:22,15:31,9
29-May-2022,Line 17,Production,Thread Finish & Re-threading,FCI-5TOL-0158,17:24,17:26,2
29-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0264,17:28,17:31,3
29-May-2022,Line 17,Cutting,Input Shortage,,15:55,16:15,20
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0321,7:39,7:41,2
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0158,8:10,8:14,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0319,8:15,8:17,2
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0194,8:42,8:45,3
29-May-2022,Line 17,Production,Multiple bio break,MF-7605U-U03-B56,8:57,9:00,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0673,9:00,9:06,6
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0074,9:51,10:01,10
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0319,10:06,10:15,9
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0083,10:49,10:56,7
29-May-2022,Line 17,Production,Multiple bio break,MF-7723,10:48,10:55,7
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0264,12:29,12:32,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0319,12:40,12:43,3
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0264,12:56,13:04,8
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0194,13:24,13:30,6
29-May-2022,Line 17,Production,Multiple bio break,MF-7723,13:31,13:38,7
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0264,13:32,13:40,8
29-May-2022,Line 17,Production,Multiple bio break,MF-7605U-U03-B56,13:42,13:46,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TNB-0004,13:44,13:48,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0321,14:03,14:07,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0154,15:11,15:19,8
29-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0074,15:25,15:32,7
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0158,15:37,15:43,6
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0194,15:46,15:50,4
29-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0321,17:16,17:21,5
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0007,7:05,7:12,7
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0029,7:28,7:32,4
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,INCS-0085,8:05,8:08,3
29-May-2022,Line 19,Maintenance,Pressure foot,INCS-0080,8:10,8:12,2
29-May-2022,Line 19,Maintenance,Gaze attached,5TOL-0164,9:13,9:18,5
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0260,9:48,9:54,6
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL-0258,12:00,12:06,6
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0305,12:05,12:13,8
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0164,12:10,12:14,4
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL-0260,12:22,12:25,3
29-May-2022,Line 19, Needle Breakage, Needle Breakage,BT-0079,12:42,12:48,6
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,SNLS-2604,1:12,1:16,4
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL- 0258,1:16,1:30,14
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0007,1:58,2:00,2
29-May-2022,Line 19,Maintenance,Connection problem,SNLS-0002,2:28,2:42,14
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0029,2:48,2:54,6
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS-0085,3:26,3:30,4
29-May-2022,Line 19,Maintenance,Knife Unsharp,4TOL 0262,7:29,7:31,2
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,DNCS 0025,8:02,8:04,2
29-May-2022,Line 19,Cutting,Input Shortage, SNLS 2754,10:35,10:50,15
29-May-2022,Line 19, Needle Breakage, Needle Breakage, 5TOL 0318,11:50,12:00,10
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,SNLS 2346,12:11,12:33,22
29-May-2022,Line 19, Needle Breakage, Needle Breakage, 5TOL  0198,1:30,1:41,11
29-May-2022,Line 19,Cutting,Input shortage,,2:21,2:30,9
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,5TOL 0198,2:27,2:30,3
29-May-2022,Line 19,Maintenance,Thread-Cut & Rethreading,4TOL 0262,2:33,2:35,2
29-May-2022,Line 19,Maintenance,,5TOL 0318,5:32,5:36,4
29-May-2022,Line 19,Maintenance,Knife Issue,4TOL 0262,5:21,5:23,2
30-May-2022,Line 17,Production,Multiple bio break,FCI-4TNB-0001,12:33,12:38,5
30-May-2022,Line 17,Production,Multiple bio break,FCI-4TNB-0004,12:03,12:10,7
30-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0074,8:54,8:57,3
30-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0083,9:06,9:10,4
30-May-2022,Line 17,Production,Multiple bio break,FCI-4TOL-0083,10:51,10:56,5
30-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0154,7:42,7:44,2
30-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0154,9:22,9:25,3
30-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0158,10:40,10:45,5
30-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0194,10:05,10:09,4
30-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0264,10:40,10:50,10
30-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0264,13:42,13:48,6
30-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0319,10:32,10:36,4
30-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0319,13:15,13:23,8
30-May-2022,Line 17,Production,Multiple bio break,FCI-5TOL-0321,10:38,10:42,4
30-May-2022,Line 17,Production,Multiple bio break,FQ-356-030-440,9:32,9:38,6
30-May-2022,Line 17,Production,Multiple bio break,FQ-356-030-440,13:12,13:15,3
30-May-2022,Line 17,Production,Thread Finish & Re-threading,FCI-4TNB-0004,7:57,8:00,3
30-May-2022,Line 17,Production,Thread Finish & Re-threading,FCI-5TOL-0321,8:00,8:04,4
30-May-2022,Line 17,Production,Thread Finish & Re-threading,FCI-5TOL-0319,8:08,8:11,3
30-May-2022,Line 17,Maintenance,Knife Unsharp,FCI-5TOL-0319,8:24,8:28,4
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TNB-0001,8:34,8:37,3
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0673,8:40,8:43,3
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TNB-0004,9:00,9:02,2
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TNB-0001,9:02,9:04,2
30-May-2022,Line 17,Maintenance,Skip Stitch,FCI-5TOL-0291,9:08,9:10,2
30-May-2022,Line 17,Production,Thread Finish & Re-threading,FCI-4TOL-0083,9:46,9:50,4
30-May-2022,Line 17,Production,Thread Finish & Re-threading,YNG-FLFB-0008,10:13,10:15,2
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,MF-7723,10:26,10:29,3
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FQ-356-030-440,11:54,11:56,2
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0194,11:55,11:57,2
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0154,12:00,12:03,3
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,MF-7723,12:22,12:25,3
30-May-2022,Line 17,Production,Thread Finish & Re-threading,FQ-356-030-440,12:49,12:51,2
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0194,13:20,13:23,3
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TNB-0004,13:57,13:59,2
30-May-2022,Line 17, Needle Breakage, Needle Breakage,FCI-4TNB-0004,14:00,14:07,7
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TNB-0004,14:16,14:19,3
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TNB-0001,14:56,14:58,2
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-4TNB-0004,15:32,15:37,5
30-May-2022,Line 17,Maintenance,Thread-Cut & Rethreading,FCI-5TOL-0321,17:07,17:10,3
